cluster_id,region,annual_opex,annual_revenue,payback_base,CAPEXC,CAPEXB,CAPEXO
0,Palma,611520.0,63345235.04,3.7,263818285.83,229407205.07,206466484.56
1,Sicily,917280.0,135827328.0,3.6,565689476.35,491903892.48,442713503.23
2,Mainland,611520.0,55967730.0,3.7,233092679.82,202689286.8,182420358.12
3,Mainland,917280.0,218967385.0,3.6,911948627.59,792998806.6,713698925.94
4,Mainland,305760.0,0.0,inf,0.0,0.0,0.0
5,Mainland,305760.0,0.0,inf,0.0,0.0,0.0
6,Mainland,611520.0,116022725.0,3.6,483207875.15,420180761.0,378162684.9
7,Mainland,611520.0,77403690.0,3.7,322368506.46,280320440.4,252288396.36
8,Mainland,305760.0,16230760.0,3.7,67597369.84,58780321.6,52902289.44
9,Mainland,611520.0,106511405.0,3.6,443595422.27,385735149.8,347161634.82
10,Mainland,917280.0,186113250.96,3.6,775118741.04,674016296.55,606614666.9
11,Mainland,1223040.0,267068165.0,3.6,1112277276.11,967197631.4,870477868.26
12,Mainland,917280.0,130697840.0,3.6,544326342.56,473327254.4,425994528.96
13,Mainland,305760.0,24499930.0,3.7,102036554.62,88727438.8,79854694.92
14,Mainland,305760.0,29332485.0,3.7,122163030.99,106228722.6,95605850.34
15,Mainland,611520.0,77669865.0,3.7,323477063.91,281284403.4,253155963.06
16,Mainland,305760.0,3270995.0,4.0,13622939.33,11846034.2,10661430.78
17,Mainland,1528800.0,558423525.84,3.6,2325705118.16,2022352276.66,1820117049.0
18,Mainland,917280.0,255764600.0,3.6,1065200536.4,926261336.0,833635202.4
19,Mainland,1528800.0,441760189.78,3.6,1839829245.77,1599851518.06,1439866366.26
20,Mainland,611520.0,45592820.0,3.7,189883573.88,165116151.2,148604536.08
21,Mainland,1528800.0,440093745.0,3.6,1832888887.83,1593816424.2,1434434781.78
22,Mainland,1223040.0,333793505.5,3.6,1390172921.14,1208846018.38,1087961416.54
23,Mainland,305760.0,12557545.0,3.7,52299277.03,45477632.2,40929868.98
24,Mainland,611520.0,54276040.0,3.7,226047181.36,196562766.4,176906489.76
25,Mainland,305760.0,20241130.0,3.7,84299635.42,73304030.8,65973627.72
26,Mainland,917280.0,166483590.0,3.6,693365733.06,602926724.4,542634051.96
27,Mainland,305760.0,12782315.0,3.7,53235392.21,46291645.4,41662480.86
28,Mainland,1528800.0,387556715.0,3.6,1614084281.81,1403551549.4,1263196394.46
29,Mainland,917280.0,154612185.0,3.6,643924070.79,559933974.6,503940577.14
30,Mainland,611520.0,31597930.0,3.7,131598086.62,114433118.8,102989806.92
31,Mainland,611520.0,67011035.0,3.7,279085496.69,242683040.6,218414736.54
32,Mainland,917280.0,255077149.24,3.6,1062337462.61,923771706.62,831394535.96
33,Mainland,305760.0,21962395.0,3.7,91468306.93,79537658.2,71583892.38
34,Mainland,305760.0,3815175.0,3.9,15889323.45,13816803.0,12435122.7
35,Mainland,917280.0,251529460.0,3.6,1047562155.64,910923613.6,819831252.24
36,Mainland,917280.0,197720705.0,3.6,823461108.47,716053137.8,644447824.02
37,Mainland,917280.0,125256040.0,3.6,521662501.36,453619566.4,408257609.76
38,Mainland,917280.0,168104300.0,3.6,700115616.2,608796188.0,547916569.2
39,Mainland,305760.0,23186800.0,3.7,96567671.2,83971888.0,75574699.2
40,Mainland,611520.0,83200390.0,3.6,346510424.26,301313412.4,271182071.16
41,Mainland,611520.0,99283275.0,3.6,413491928.85,359558199.0,323602379.1
42,Mainland,611520.0,104109915.0,3.6,433593770.61,377038061.4,339334255.26
43,Mainland,611520.0,108776850.0,3.6,453030477.9,393939546.0,354545591.4
44,Mainland,917280.0,202115550.0,3.6,841764623.7,731969238.0,658772314.2
45,Mainland,917280.0,129366965.0,3.6,538783555.31,468507439.4,421656695.46
46,Mainland,611520.0,93894710.0,3.6,391049799.14,340043303.6,306038973.24
47,Mainland,1528800.0,409714305.0,3.6,1706365530.87,1483796113.8,1335416502.42
48,Mainland,611520.0,64727845.0,3.7,269576537.23,234414380.2,210972942.18
49,Mainland,611520.0,77888720.0,3.7,324388544.48,282076995.2,253869295.68
50,Mainland,305760.0,9174165.0,3.7,38208280.11,33224591.4,29902132.26
51,Mainland,305760.0,18508035.0,3.7,77081694.69,67027560.6,60324804.54
52,Mainland,611520.0,117791310.0,3.6,490573623.54,426585759.6,383927183.64
53,Mainland,611520.0,35188335.0,3.7,146551294.89,127435908.6,114692317.74
54,Mainland,917280.0,156570050.0,3.6,652078126.7,567024458.0,510322012.2
55,Mainland,611520.0,47207615.0,3.7,196608822.41,170964193.4,153867774.06
56,Mainland,305760.0,13498030.0,3.7,56216180.02,48883634.8,43995271.32
57,Mainland,611520.0,111107360.0,3.6,462736514.24,402379577.6,362141619.84
58,Mainland,917280.0,259538370.0,3.6,1080917417.58,939928189.2,845935370.28
59,Mainland,611520.0,56772170.0,3.7,236442986.78,205602597.2,185042337.48
60,Mainland,917280.0,150962630.0,3.6,628724516.42,546716970.8,492045273.72
