cluster_id,region,annual_opex,annual_revenue,payback_base,CAPEXC,CAPEXB,CAPEXO
0,Palma,330720.0,5011930.68,12.1,65302950.86,56785174.66,51106657.19
1,Sicily,599040.0,10746777.6,12.0,140025138.74,121760990.21,109584891.19
2,Mainland,330720.0,4428216.0,12.2,57697440.37,50171687.28,45154518.55
3,Mainland,599040.0,17324892.0,11.7,225734680.31,196291026.36,176661923.72
4,Mainland,193440.0,0.0,inf,0.0,0.0,0.0
5,Mainland,193440.0,0.0,inf,0.0,0.0,0.0
6,Mainland,330720.0,9179820.0,11.8,119608464.69,104007360.6,93606624.54
7,Mainland,330720.0,6124248.0,12.0,79795889.32,69387729.84,62448956.86
8,Mainland,193440.0,1284192.0,13.3,16732379.66,14549895.36,13094905.82
9,Mainland,330720.0,8427276.0,11.8,109803192.64,95481037.08,85932933.37
10,Mainland,599040.0,14725444.03,11.8,191865173.01,166839280.88,150155352.79
11,Mainland,898560.0,21130668.0,11.8,275322038.71,239410468.44,215469421.6
12,Mainland,599040.0,10340928.0,12.0,134737121.38,117162714.24,105446442.82
13,Mainland,193440.0,1938456.0,12.6,25257112.45,21962706.48,19766435.83
14,Mainland,193440.0,2320812.0,12.4,30239019.95,26294799.96,23665319.96
15,Mainland,330720.0,6145308.0,12.0,80070290.59,69626339.64,62663705.68
16,Mainland,193440.0,258804.0,44.9,3372086.72,2932249.32,2639024.39
17,Mainland,898560.0,44182960.29,11.6,575681881.05,500592940.04,450533646.04
18,Mainland,599040.0,20236320.0,11.7,263669131.44,229277505.6,206349755.04
19,Mainland,898560.0,34952454.58,11.6,455413006.9,396011310.35,356410179.31
20,Mainland,330720.0,3607344.0,12.5,47001888.65,40871207.52,36784086.77
21,Mainland,898560.0,34820604.0,11.6,453695059.82,394517443.32,355065698.99
22,Mainland,898560.0,26410035.6,11.7,344109558.85,299225703.35,269303133.01
23,Mainland,193440.0,993564.0,14.1,12945642.14,11257080.12,10131372.11
24,Mainland,330720.0,4294368.0,12.3,55953467.86,48655189.44,43789670.5
25,Mainland,193440.0,1601496.0,12.9,20866692.13,18144949.68,16330454.71
26,Mainland,599040.0,13172328.0,11.9,171628847.68,149242476.24,134318228.62
27,Mainland,193440.0,1011348.0,14.0,13177358.77,11458572.84,10312715.56
28,Mainland,898560.0,30663828.0,11.7,399534346.93,347421171.24,312679054.12
29,Mainland,599040.0,12233052.0,11.9,159390551.03,138600479.16,124740431.24
30,Mainland,330720.0,2500056.0,13.1,32574479.65,28325634.48,25493071.03
31,Mainland,330720.0,5301972.0,12.1,69082044.17,60071342.76,54064208.48
32,Mainland,599040.0,20181928.29,11.7,262960434.67,228661247.54,205795122.79
33,Mainland,193440.0,1737684.0,12.7,22641153.68,19687959.72,17719163.75
34,Mainland,193440.0,301860.0,31.5,3933084.87,3420073.8,3078066.42
35,Mainland,599040.0,19901232.0,11.7,259303102.34,225480958.56,202932862.7
36,Mainland,599040.0,15643836.0,11.8,203831361.16,177244661.88,159520195.69
37,Mainland,599040.0,9910368.0,12.1,129127139.86,112284469.44,101056022.5
38,Mainland,599040.0,13300560.0,11.9,173299646.52,150695344.8,135625810.32
39,Mainland,193440.0,1834560.0,12.7,23903399.52,20785564.8,18707008.32
40,Mainland,330720.0,6582888.0,11.9,85771739.2,74584121.04,67125708.94
41,Mainland,330720.0,7855380.0,11.8,102351673.71,89001455.4,80101309.86
42,Mainland,330720.0,8237268.0,11.8,107327483.41,93328246.44,83995421.8
43,Mainland,330720.0,8606520.0,11.8,112138652.34,97511871.6,87760684.44
44,Mainland,599040.0,15991560.0,11.8,208362031.02,181184374.8,163065937.32
45,Mainland,599040.0,10235628.0,12.0,133365115.03,115969665.24,104372698.72
46,Mainland,330720.0,7429032.0,11.9,96796572.44,84170932.56,75753839.3
47,Mainland,898560.0,32416956.0,11.7,422376728.2,367284111.48,330555700.33
48,Mainland,330720.0,5121324.0,12.1,66728291.06,58024600.92,52222140.83
49,Mainland,330720.0,6162624.0,12.0,80295909.41,69822529.92,62840276.93
50,Mainland,193440.0,725868.0,15.4,9457697.11,8224084.44,7401676.0
51,Mainland,193440.0,1464372.0,13.1,19080034.97,16591334.76,14932201.28
52,Mainland,330720.0,9319752.0,11.7,121431708.68,105592790.16,95033511.14
53,Mainland,330720.0,2784132.0,12.9,36275847.89,31544215.56,28389794.0
54,Mainland,599040.0,12387960.0,11.9,161408924.82,140355586.8,126320028.12
55,Mainland,330720.0,3735108.0,12.4,48666589.69,42318773.64,38086896.28
56,Mainland,193440.0,1067976.0,13.8,13915193.29,12100168.08,10890151.27
57,Mainland,330720.0,8790912.0,11.8,114541187.9,99601032.96,89640929.66
58,Mainland,599040.0,20534904.0,11.7,267559531.67,232660462.32,209394416.09
59,Mainland,330720.0,4491864.0,12.2,58526741.99,50892819.12,45803537.21
60,Mainland,599040.0,11944296.0,11.9,155628204.73,135328873.68,121795986.31
61,Mainland,599040.0,10634832.0,12.0,138566543.54,120492646.56,108443381.9
62,Mainland,599040.0,15045001.92,11.8,196028852.52,170459871.75,153413884.58
63,Mainland,898560.0,31553964.0,11.7,411132373.94,357506412.12,321755770.91
64,Mainland,330720.0,6262308.0,12.0,81594742.09,70951949.64,63856754.68
65,Mainland,330720.0,9059544.0,11.8,118041328.55,102644633.52,92380170.17
66,Mainland,330720.0,4139460.0,12.3,53935094.07,46900081.8,42210073.62
67,Mainland,599040.0,15327936.0,11.8,199715342.11,173665514.88,156298963.39
68,Mainland,898560.0,29186352.0,11.7,380283573.38,330681368.16,297613231.34
69,Mainland,330720.0,5350176.0,12.1,69710118.19,60617494.08,54555744.67
70,Mainland,599040.0,19686888.0,11.7,256510307.2,223052441.04,200747196.94
71,Mainland,599040.0,20576556.0,11.7,268102236.4,233132379.48,209819141.53
72,Mainland,599040.0,9388080.0,12.1,122321988.36,106366946.4,95730251.76
73,Mainland,193440.0,917394.66,14.4,11953193.72,10394081.5,9354673.35
74,Mainland,599040.0,10325952.0,12.0,134541991.58,116993036.16,105293732.54
75,Mainland,193440.0,1349712.0,13.2,17586072.5,15292236.96,13763013.26
76,Mainland,330720.0,5661864.0,12.0,73771256.99,64148919.12,57734027.21
77,Mainland,193440.0,0.0,inf,0.0,0.0,0.0
78,Mainland,599040.0,15978456.0,11.8,208191292.45,181035906.48,162932315.83
79,Mainland,193440.0,2032056.0,12.5,26476673.65,23023194.48,20720875.03
80,Mainland,330720.0,6293664.0,12.0,82003295.09,71307213.12,64176491.81
81,Mainland,599040.0,14899248.0,11.8,194129751.82,168808479.84,151927631.86
82,Mainland,330720.0,4173624.0,12.3,54380233.91,47287159.92,42558443.93
83,Mainland,898560.0,23636340.0,11.8,307969692.03,267799732.2,241019758.98
84,Mainland,898560.0,21808332.0,11.8,284151661.79,247088401.56,222379561.4
85,Mainland,599040.0,18574920.0,11.7,242021920.14,210453843.6,189408459.24
86,Mainland,330720.0,5619744.0,12.0,73222454.45,63671699.52,57304529.57
87,Mainland,599040.0,13374504.0,11.9,174263099.87,151533130.32,136379817.29
88,Mainland,330720.0,9289800.0,11.7,121041449.1,105253434.0,94728090.6
89,Mainland,599040.0,9387612.0,12.1,122315890.55,106361643.96,95725479.56
90,Mainland,193440.0,1468584.0,13.0,19134915.23,16639056.72,14975151.05
91,Mainland,898560.0,30138264.0,11.7,392686510.79,341466531.12,307319878.01
92,Mainland,898560.0,27574092.0,11.7,359276631.71,312414462.36,281173016.12
93,Mainland,898560.0,30681518.4,11.7,399764843.99,347621603.47,312859443.12
94,Mainland,599040.0,16571880.0,11.8,215923310.46,187759400.4,168983460.36
95,Mainland,898560.0,28393092.0,11.7,369947792.21,321693732.36,289524359.12
96,Mainland,599040.0,9795240.0,12.1,127627079.58,110980069.2,99882062.28
97,Mainland,599040.0,17967924.0,11.7,234113065.76,203576578.92,183218921.03
98,Mainland,898560.0,31784220.0,11.7,414132494.49,360115212.6,324103691.34
99,Mainland,599040.0,17288028.67,11.7,225254369.55,195873364.83,176286028.34
100,Mainland,330720.0,8119207.79,11.8,105789217.94,91990624.29,82791561.86
101,Mainland,330720.0,6059664.0,12.0,78954392.09,68655993.12,61790393.81
102,Mainland,330720.0,5402124.0,12.1,70386974.66,61206064.92,55085458.43
103,Mainland,599040.0,19262880.0,11.7,250985694.96,218248430.4,196423587.36
104,Mainland,330720.0,4015000.08,12.3,52313443.54,45489950.91,40940955.82
105,Mainland,330720.0,5317416.0,12.1,69283271.77,60246323.28,54221690.95
106,Mainland,599040.0,13395564.0,11.9,174537501.14,151771740.12,136594566.11
107,Mainland,898560.0,27677841.05,11.7,360628429.93,313589939.07,282230945.17
108,Mainland,193440.0,1079743.67,13.8,14068520.18,12233495.81,11010146.23
109,Mainland,330720.0,5076396.0,12.1,66142901.68,57515566.68,51764010.01
110,Mainland,599040.0,16060824.0,11.8,209264506.31,181969135.92,163772222.33
111,Mainland,599040.0,12400596.0,11.9,161573565.58,140498752.68,126448877.41
112,Mainland,330720.0,4162392.0,12.3,54233886.56,47159901.36,42443911.22
113,Mainland,330720.0,4720248.0,12.2,61502471.32,53480409.84,48132368.86
114,Mainland,330720.0,4744584.0,12.2,61819557.23,53756136.72,48380523.05
115,Mainland,330720.0,4016376.0,12.3,52331371.09,45505540.08,40954986.07
116,Mainland,599040.0,12848472.0,11.9,167409165.92,145573187.76,131015868.98
117,Mainland,330720.0,8676252.0,11.8,113047225.43,98301935.16,88471741.64
118,Mainland,599040.0,10198656.0,12.0,132883388.35,115550772.48,103995695.23
119,Mainland,599040.0,12143664.0,11.9,158225870.09,137587713.12,123828941.81
120,Mainland,330720.0,9030060.0,11.8,117657166.77,102310579.8,92079521.82
121,Mainland,330720.0,5515848.0,12.1,71868741.52,62494557.84,56245102.06
122,Mainland,193440.0,719374.59,15.5,9373091.27,8150514.15,7335462.73
123,Mainland,330720.0,2358252.0,13.2,30726844.43,26718995.16,24047095.64
124,Mainland,193440.0,1670760.0,12.8,21769167.42,18929710.8,17036739.72
125,Mainland,330720.0,8187598.32,11.8,106680312.28,92765488.94,83488940.04
126,Mainland,898560.0,22253400.0,11.8,289950675.3,252131022.0,226917919.8
127,Mainland,330720.0,7796880.0,11.8,101589447.96,88338650.4,79504785.36
128,Mainland,898560.0,22460256.0,11.8,292645905.55,254474700.48,229027230.43
129,Mainland,330720.0,7049016.0,11.9,91845153.97,79865351.28,71878816.15
130,Mainland,193440.0,1042236.0,13.9,13579813.96,11808533.88,10627680.49
131,Mainland,898560.0,33070284.0,11.6,430889265.38,374686317.72,337217685.95
132,Mainland,330720.0,4697784.0,12.2,61209776.63,53225892.72,47903303.45
133,Mainland,330720.0,7150104.0,11.9,93162280.07,81010678.32,72909610.49
134,Mainland,898560.0,28801656.0,11.7,375271176.85,326322762.48,293690486.23
135,Mainland,330720.0,7997444.49,11.8,104202702.97,90611046.06,81549941.45
136,Mainland,599040.0,15457572.0,11.8,201404434.37,175134290.76,157620861.68
137,Mainland,599040.0,13229358.48,11.9,172371926.32,149888631.58,134899768.42
138,Mainland,898560.0,23143044.04,11.8,301542292.3,262210688.96,235989620.06
139,Mainland,330720.0,6816420.0,11.9,88814544.39,77230038.6,69507034.74
140,Mainland,193440.0,1745640.0,12.7,22744816.38,19778101.2,17800291.08
141,Mainland,330720.0,6577740.0,11.9,85704663.33,74525794.2,67073214.78
142,Mainland,330720.0,2606760.0,13.0,33964779.42,29534590.8,26581131.72
143,Mainland,599040.0,9520524.0,12.1,124047667.46,107867536.92,97080783.23
144,Mainland,599040.0,14099436.0,11.8,183708601.36,159746609.88,143771948.89
145,Mainland,330720.0,8520876.0,11.8,111022753.84,96541525.08,86887372.57
146,Mainland,898560.0,29484000.0,11.7,384161778.0,334053720.0,300648348.0
147,Mainland,599040.0,12350988.0,11.9,160927198.15,139936694.04,125943024.64
148,Mainland,330720.0,2587188.24,13.0,33709769.17,29312842.76,26381558.48
149,Mainland,193440.0,91728.0,inf,1195169.98,1039278.24,935350.42
150,Mainland,330720.0,6222996.0,12.0,81082526.38,70506544.68,63455890.21
151,Mainland,193440.0,2072525.27,12.5,27003968.01,23481711.31,21133540.18
152,Mainland,330720.0,3332628.0,12.6,43422476.53,37758675.24,33982807.72
153,Mainland,599040.0,9877140.0,12.1,128694195.63,111907996.2,100717196.58
154,Mainland,330720.0,8774064.0,11.8,114321666.89,99410145.12,89469130.61
155,Mainland,898560.0,21280428.0,11.8,277273336.63,241107249.24,216996524.32
156,Mainland,599040.0,9762480.0,12.1,127200233.16,110608898.4,99548008.56
157,Mainland,898560.0,34246373.52,11.6,446213123.81,388011412.01,349210270.81
158,Mainland,330720.0,4829760.0,12.2,62929357.92,54721180.8,49249062.72
159,Mainland,330720.0,6682572.0,11.9,87070571.87,75713540.76,68142186.68
160,Mainland,193440.0,1357200.0,13.2,17683637.4,15377076.0,13839368.4
161,Mainland,330720.0,2961504.0,12.8,38586916.37,33553840.32,30198456.29
162,Mainland,330720.0,4957992.0,12.1,64600156.76,56174049.36,50556644.42
163,Mainland,599040.0,9554220.0,12.1,124486709.49,108249312.6,97424381.34
164,Mainland,599040.0,11686428.0,11.9,152268313.63,132407229.24,119166506.32
165,Mainland,898560.0,25684308.0,11.7,334653691.09,291003209.64,261902888.68
166,Mainland,330720.0,4722588.0,12.2,61532960.35,53506922.04,48156229.84
167,Mainland,330720.0,3785184.0,12.4,49319054.93,42886134.72,38597521.25
168,Mainland,193440.0,1907568.0,12.6,24854657.26,21612745.44,19451470.9
169,Mainland,330720.0,2860884.0,12.8,37275888.08,32413815.72,29172434.15
170,Mainland,599040.0,13563576.0,11.9,176726613.49,153675316.08,138307784.47
171,Mainland,599040.0,18585216.0,11.7,242156071.87,210570497.28,189513447.55
172,Mainland,330720.0,4438044.0,12.2,57825494.3,50283038.52,45254734.67
173,Mainland,898560.0,23090652.0,11.8,300859650.23,261617087.16,235455378.44
174,Mainland,599040.0,11807172.0,11.9,153841547.57,133775258.76,120397732.88
175,Mainland,193440.0,1473264.0,13.0,19195893.29,16692081.12,15022873.01
176,Mainland,599040.0,10685844.0,12.0,139231204.4,121070612.52,108963551.27
177,Mainland,330720.0,8180640.0,11.8,106589648.88,92686651.2,83417986.08
178,Mainland,193440.0,1103544.0,13.7,14378626.55,12503153.52,11252838.17
179,Mainland,330720.0,5448456.0,12.1,70990657.45,61731006.48,55557905.83
180,Mainland,330720.0,5998824.0,12.0,78161677.31,67966675.92,61170008.33
181,Mainland,599040.0,12388428.0,11.9,161415022.63,140360889.24,126324800.32
182,Mainland,330720.0,4154904.0,12.3,54136321.67,47075062.32,42367556.09
183,Mainland,599040.0,13296816.0,11.9,173250864.07,150652925.28,135587632.75
184,Mainland,599040.0,14192568.0,11.8,184922064.76,160801795.44,144721615.9
185,Mainland,330720.0,3653676.0,12.5,47605571.44,41396149.08,37256534.17
186,Mainland,898560.0,31176288.0,11.7,406211444.5,353227343.04,317904608.74
187,Mainland,599040.0,20664540.0,11.7,269248623.93,234129238.2,210716314.38
188,Mainland,599040.0,11665836.0,11.9,152000010.16,132173921.88,118956529.69
189,Mainland,193440.0,0.0,inf,0.0,0.0,0.0
190,Mainland,599040.0,11072412.0,12.0,144267992.15,125450427.96,112905385.16
191,Mainland,599040.0,10396620.0,12.0,135462760.29,117793704.6,106014334.14
192,Mainland,193440.0,798876.0,14.9,10408954.84,9051265.08,8146138.57
193,Mainland,599040.0,20675772.0,11.7,269394971.27,234256496.76,210830847.08
194,Mainland,330720.0,6680512.8,11.9,87043741.53,75690210.02,68121189.02
195,Mainland,898560.0,29508804.0,11.7,384484961.72,334334749.32,300901274.39
196,Mainland,599040.0,15023322.38,11.8,195746378.97,170214242.58,153192818.33
197,Mainland,193440.0,1866384.0,12.6,24318050.33,21146130.72,19031517.65
198,Mainland,599040.0,13862021.47,11.8,180615208.77,157056703.28,141351032.95
199,Mainland,330720.0,4040712.0,12.3,52648457.0,45781266.96,41203140.26
200,Mainland,898560.0,27512316.0,11.7,358471721.32,311714540.28,280543086.25
201,Mainland,330720.0,6025500.0,12.0,78509252.25,68268915.0,61442023.5
202,Mainland,330720.0,8249023.69,11.8,107480654.19,93461438.43,84115294.59
203,Mainland,330720.0,7239492.0,11.9,94326961.01,82023444.36,73821099.92
204,Mainland,330720.0,6201000.0,12.0,80795929.5,70257330.0,63231597.0
205,Mainland,330720.0,4697316.0,12.2,61203678.82,53220590.28,47898531.25
206,Mainland,599040.0,16333668.0,11.8,212819527.21,185060458.44,166554412.6
207,Mainland,330720.0,6111144.0,12.0,79625150.75,69239261.52,62315335.37
208,Mainland,599040.0,9674542.8,12.1,126054455.41,109612569.92,98651312.93
209,Mainland,193440.0,0.0,inf,0.0,0.0,0.0
210,Mainland,330720.0,8062052.54,11.8,105044513.62,91343055.32,82208749.79
211,Mainland,599040.0,12711348.0,11.9,165622508.77,144019572.84,129617615.56
212,Mainland,330720.0,7007832.0,11.9,91308547.04,79398736.56,71458862.9
213,Mainland,330720.0,5318820.0,12.1,69301565.19,60262230.6,54236007.54
214,Mainland,330720.0,5748912.0,12.0,74905448.9,65135172.96,58621655.66
215,Mainland,330720.0,3102372.0,12.7,40422355.97,35149874.76,31634887.28
216,Mainland,330720.0,4761900.0,12.2,62045176.05,53952327.0,48557094.3
217,Mainland,599040.0,13750776.0,11.8,179165735.89,155796292.08,140216662.87
218,Mainland,898560.0,31369662.7,11.7,408731020.13,355418278.37,319876450.54
219,Mainland,898560.0,30202848.0,11.7,393528008.02,342198267.84,307978441.06
220,Mainland,599040.0,20526012.0,11.7,267443673.35,232559715.96,209303744.36
221,Mainland,330720.0,5158764.0,12.1,67216115.54,58448796.12,52603916.51
222,Mainland,599040.0,17112074.52,11.7,222961774.99,193879804.34,174491823.9
223,Mainland,330720.0,6780852.0,11.9,88351111.13,76827053.16,69144347.84
