cluster_id,region,annual_opex,annual_revenue,payback_base_years,CAPEXC,CAPEXB,CAPEXO
0,Palma,1973881.19,7194904.94,8.0,47902919.72,41654712.8,37489241.52
1,Sicily,3612086.4,15427596.29,7.6,102715312.13,89317662.72,80385896.45
2,Mainland,1909024.0,6356950.08,8.3,42323904.48,36803395.2,33123055.68
3,Mainland,4342988.0,24870844.96,7.0,165587467.76,143989102.4,129590192.16
4,Mainland,650000.0,0.0,,0.0,0.0,0.0
5,Mainland,650000.0,0.0,,0.0,0.0,0.0
6,Mainland,2436980.0,13178141.6,7.1,87738679.6,76294504.0,68665053.6
7,Mainland,2097472.0,8791698.24,7.6,58534201.44,50899305.6,45809375.04
8,Mainland,792688.0,1843528.96,10.2,12274021.76,10673062.4,9605756.16
9,Mainland,2353364.0,12097822.88,7.2,80546031.28,70040027.2,63036024.48
10,Mainland,4054160.45,21139192.99,7.2,140742521.74,122384801.51,110146321.36
11,Mainland,5649852.0,30334247.84,7.1,201962229.04,175619329.6,158057396.64
12,Mainland,3566992.0,14844976.64,7.6,98836291.84,85944601.6,77350141.44
13,Mainland,865384.0,2782761.28,8.4,18527331.68,16110723.2,14499650.88
14,Mainland,907868.0,3331654.56,8.0,22181805.36,19288526.4,17359673.76
15,Mainland,2099812.0,8821931.04,7.6,58735488.24,51074337.6,45966903.84
16,Mainland,678756.0,371527.52,,2473591.12,2150948.8,1935853.92
17,Mainland,9212217.81,63427094.1,6.8,422290915.98,367209492.16,330488542.94
18,Mainland,4666480.0,29050361.6,6.9,193414249.6,168186304.0,151367673.6
19,Mainland,8186606.06,50176190.35,6.9,334067793.63,290493733.59,261444360.23
20,Mainland,1817816.0,5178542.72,8.9,34478192.32,29981036.8,26982933.12
21,Mainland,8171956.0,49986911.52,6.9,332807595.12,289397908.8,260458117.92
22,Mainland,6236448.4,37913073.33,6.9,252421251.37,219496740.32,197547066.29
23,Mainland,760396.0,1426316.32,12.4,9496263.92,8257620.8,7431858.72
24,Mainland,1894152.0,6164803.84,8.4,41044615.04,35690969.6,32121872.64
25,Mainland,827944.0,2299036.48,9.0,15306742.88,13310211.2,11979190.08
26,Mainland,3881592.0,18909608.64,7.3,125898183.84,109476681.6,98529013.44
27,Mainland,762372.0,1451846.24,12.2,9666239.44,8405425.6,7564883.04
28,Mainland,7710092.0,44019628.64,7.0,293078053.84,254850481.6,229365433.44
