cluster_id,region,annual_opex,annual_revenue,payback_base,CAPEXC,CAPEXB,CAPEXO
0,Palma,474240.0,984944.62,62.4,36645733.59,31865855.29,28679269.76
1,Sicily,474240.0,2111956.73,41.7,78577213.78,68328011.98,61495210.78
2,Mainland,474240.0,870233.01,71.1,32377786.93,28154597.33,25339137.6
3,Mainland,792480.0,3404687.78,42.2,126674412.84,110151663.34,99136497.0
4,Mainland,243360.0,0.0,inf,0.0,0.0,0.0
5,Mainland,243360.0,0.0,inf,0.0,0.0,0.0
6,Mainland,474240.0,1804018.23,43.9,67120089.89,58365295.56,52528766.0
7,Mainland,474240.0,1203537.22,53.4,44778664.1,38937968.78,35044171.91
8,Mainland,243360.0,252369.41,906.3,9389626.65,8164892.74,7348403.46
9,Mainland,474240.0,1656128.28,45.3,61617713.93,53580620.81,48222558.73
10,Mainland,792480.0,2893844.26,44.6,107668029.13,93624373.16,84261935.84
11,Mainland,792480.0,4152598.88,40.0,154501105.22,134348787.14,120913908.43
12,Mainland,474240.0,2032199.17,42.2,75609763.26,65747620.22,59172858.2
13,Mainland,243360.0,380945.37,89.6,14173408.74,12324703.25,11092232.92
14,Mainland,243360.0,456085.97,69.4,16969081.1,14755722.7,13280150.43
15,Mainland,474240.0,1207675.93,53.3,44932648.5,39071868.26,35164681.44
16,Mainland,243360.0,50860.16,inf,1892297.21,1645475.83,1480928.25
17,Mainland,1634880.0,8682835.36,39.9,323052550.73,280915261.5,252823735.35
18,Mainland,792480.0,3976841.61,40.4,147961900.94,128662522.56,115796270.3
19,Mainland,1160640.0,6868856.37,38.9,255561862.12,222227706.19,200004935.57
20,Mainland,474240.0,708915.24,97.7,26375817.12,22935493.15,20641943.84
21,Mainland,1160640.0,6842945.1,39.0,254597810.27,221389400.23,199250460.21
22,Mainland,1160640.0,5190100.2,41.7,193102257.3,167915006.34,151123505.71
23,Mainland,243360.0,195255.2,inf,7264641.9,6317079.91,5685371.92
24,Mainland,474240.0,843929.2,73.9,31399130.51,27303591.74,24573232.57
25,Mainland,243360.0,314725.99,142.7,11709658.3,10182311.57,9164080.41
26,Mainland,792480.0,2588625.9,46.6,96312110.64,83749661.42,75374695.28
27,Mainland,243360.0,198750.11,inf,7394673.17,6430150.58,5787135.53
28,Mainland,1160640.0,6026055.48,40.1,224204711.19,194960618.42,175464556.58
29,Mainland,792480.0,2404039.38,48.3,89444406.31,77777744.62,69999970.15
30,Mainland,243360.0,491311.01,64.1,18279659.46,15895356.05,14305820.44
31,Mainland,474240.0,1041943.54,59.4,38766428.67,33709937.98,30338944.18
32,Mainland,792480.0,3966152.55,40.4,147564205.09,128316700.08,115485030.07
33,Mainland,243360.0,341489.66,112.6,12705424.1,11048194.87,9943375.38
34,Mainland,243360.0,59321.53,inf,2207109.76,1919225.88,1727303.29
35,Mainland,792480.0,3910990.11,40.6,145511838.01,126532033.06,113878829.75
36,Mainland,792480.0,3074326.65,43.6,114383035.68,99463509.29,89517158.36
