cluster_id,region,annual_opex,annual_revenue,payback_base,CAPEXC,CAPEXB,CAPEXO
0,Palma,761280.0,28066811.83,5.53,173528326.7,150894197.13,135804777.41
1,Sicily,761280.0,60181954.56,5.45,372086218.18,323553233.2,291197909.88
2,Mainland,761280.0,24798009.6,5.55,153318343.98,133320299.11,119988269.2
3,Mainland,1185600.0,97019395.2,5.44,599840601.96,521600523.44,469440471.1
4,Mainland,380640.0,0.0,inf,0.0,0.0,0.0
5,Mainland,380640.0,0.0,inf,0.0,0.0,0.0
6,Mainland,761280.0,51406992.0,5.46,317833366.85,276376840.74,248739156.67
7,Mainland,761280.0,34295788.8,5.5,212040144.72,184382734.54,165944461.08
8,Mainland,380640.0,7191475.2,5.68,44462643.83,38663168.54,34796851.69
9,Mainland,761280.0,47192745.6,5.46,291777998.31,253719998.53,228347998.68
10,Mainland,1185600.0,82462486.58,5.45,509839784.99,443338943.47,399005049.12
11,Mainland,1185600.0,118331740.8,5.43,731608174.7,636181021.48,572562919.33
12,Mainland,761280.0,57909196.8,5.45,358034467.19,311334319.3,280200887.37
13,Mainland,380640.0,10855353.6,5.57,67115259.01,58361094.79,52524985.31
14,Mainland,380640.0,12996547.2,5.54,80353589.92,69872686.88,62885418.2
15,Mainland,761280.0,34413724.8,5.5,212769306.15,185016787.96,166515109.16
16,Mainland,380640.0,1449302.4,7.29,8960583.83,7791812.03,7012630.83
17,Mainland,2034240.0,247424577.6,5.42,1529748843.14,1330216385.34,1197194746.81
18,Mainland,1185600.0,113323392.0,5.43,700643119.18,609254886.24,548329397.62
19,Mainland,1609920.0,195733745.63,5.42,1210160582.41,1052313549.92,947082194.93
20,Mainland,761280.0,20201126.4,5.59,124897251.68,108606305.81,97745675.23
21,Mainland,1609920.0,194995382.4,5.42,1205595513.32,1048343924.63,943509532.17
22,Mainland,1185600.0,147896199.36,5.42,914395983.08,795126941.81,715614247.63
23,Mainland,380640.0,5563958.4,5.77,34400216.05,29913231.35,26921908.21
24,Mainland,761280.0,24048460.8,5.55,148684117.98,129290537.38,116361483.64
25,Mainland,380640.0,8968377.6,5.61,55448676.08,48216240.07,43394616.06
26,Mainland,761280.0,73765036.8,5.43,456066170.96,396579279.1,356921351.19
27,Mainland,380640.0,5663548.8,5.76,35015952.37,30448654.24,27403788.81
28,Mainland,1609920.0,171717436.8,5.43,1061675250.04,923195869.6,830876282.64
29,Mainland,761280.0,68505091.2,5.44,423545571.05,368300496.56,331470446.91
30,Mainland,380640.0,14000313.6,5.53,86559563.89,75269185.99,67742267.39
31,Mainland,761280.0,29691043.2,5.52,183570441.65,159626471.0,143663823.9
32,Mainland,1185600.0,113018798.43,5.43,698759912.32,607617315.06,546855583.56
33,Mainland,380640.0,9731030.4,5.6,60163920.02,52316452.19,47084806.97
34,Mainland,380640.0,1690416.0,6.94,10451313.87,9088099.02,8179289.12
35,Mainland,1185600.0,111446899.2,5.43,689041350.6,599166391.82,539249752.64
36,Mainland,1185600.0,87605481.6,5.45,541637316.02,470988970.45,423890073.41
37,Mainland,761280.0,55498060.8,5.45,343127166.78,298371449.38,268534304.44
