cluster_id,region,annual_opex,annual_revenue,payback_base,CAPEXC,CAPEXB,CAPEXO
0,Palma,427570.0,5717610.53,14.5,88225906.85,76718179.87,69046361.89
1,Sicily,744510.0,12259923.89,14.3,189177436.63,164502118.81,148051906.93
2,Mainland,427570.0,5051708.81,14.7,77950673.49,67783194.34,61004874.9
3,Mainland,744510.0,19764236.79,13.9,304973153.86,265194046.83,238674642.15
4,Mainland,242190.0,0.0,inf,0.0,0.0,0.0
5,Mainland,242190.0,0.0,inf,0.0,0.0,0.0
6,Mainland,427570.0,10472338.66,14.0,161594003.43,140516524.72,126464872.25
7,Mainland,427570.0,6986542.12,14.3,107806226.3,93744544.61,84370090.15
8,Mainland,242190.0,1465006.23,16.1,22605860.08,19657269.63,17691542.67
9,Mainland,427570.0,9613836.46,14.0,148346837.61,128997250.1,116097525.09
10,Mainland,744510.0,16798786.55,14.0,259214609.15,225404007.96,202863607.16
11,Mainland,1004640.0,24105866.05,14.0,371966905.37,323449482.93,291104534.64
12,Mainland,744510.0,11796930.66,14.3,182033193.97,158289733.89,142460760.5
13,Mainland,242190.0,2211390.6,15.1,34122985.58,29672161.38,26704945.24
14,Mainland,242190.0,2647582.33,14.8,40853666.22,35524927.15,31972434.44
15,Mainland,427570.0,7010567.37,14.3,108176949.22,94066912.37,84660221.13
16,Mainland,242190.0,295243.6,74.7,4555772.82,3961541.58,3565387.43
17,Mainland,1004640.0,50403921.09,13.7,777760504.67,676313482.32,608682134.09
18,Mainland,744510.0,23085593.86,13.9,356223538.53,309759598.72,278783638.85
19,Mainland,1004640.0,39873760.18,13.8,615274271.67,535021105.8,481518995.22
20,Mainland,427570.0,4115258.04,15.0,63500717.74,55218015.42,49696213.88
21,Mainland,1004640.0,39723345.04,13.8,612953282.54,533002854.38,479702568.95
22,Mainland,1004640.0,30128568.61,13.9,464900551.78,404261349.38,363835214.44
23,Mainland,242190.0,1133457.81,17.1,17489883.73,15208594.54,13687735.09
24,Mainland,427570.0,4899015.01,14.7,75594523.35,65734368.13,59160931.32
25,Mainland,242190.0,1826986.64,15.5,28191418.8,24514277.22,22062849.49
26,Mainland,744510.0,15026991.78,14.1,231874831.53,201630288.29,181467259.46
27,Mainland,242190.0,1153745.8,17.0,17802938.64,15480816.21,13932734.59
28,Mainland,1004640.0,34981294.98,13.8,539780815.63,469374622.29,422437160.06
29,Mainland,744510.0,13955465.72,14.2,215340589.12,187252686.19,168527417.57
30,Mainland,427570.0,2852063.88,15.8,44008930.22,38268634.98,34441771.48
31,Mainland,427570.0,6048489.66,14.4,93331555.69,81157874.51,73042087.06
32,Mainland,744510.0,23023543.79,13.9,355266071.61,308927018.79,278034316.91
33,Mainland,242190.0,1982349.91,15.3,30588760.37,26598922.06,23939029.86
34,Mainland,242190.0,344361.89,45.2,5313695.24,4620604.56,4158544.1
35,Mainland,744510.0,22703325.47,13.9,350324924.89,304630369.47,274167332.52
36,Mainland,744510.0,17846488.11,14.0,275381226.23,239461935.86,215515742.27
37,Mainland,744510.0,11305747.81,14.4,174453969.75,151699104.13,136529193.72
38,Mainland,744510.0,15173278.85,14.1,234132122.22,203593149.76,183233834.78
39,Mainland,242190.0,2092866.05,15.2,32294085.82,28081813.76,25273632.38
40,Mainland,427570.0,7509758.63,14.2,115879747.76,100764998.05,90688498.24
41,Mainland,427570.0,8961417.5,14.1,138279650.65,120243174.48,108218857.03
42,Mainland,427570.0,9397075.33,14.1,145002093.01,126088776.53,113479898.88
43,Mainland,427570.0,9818318.02,14.0,151502101.61,131740957.92,118566862.13
44,Mainland,744510.0,18243171.65,14.0,281502273.62,244784585.76,220306127.18
45,Mainland,744510.0,11676804.42,14.3,180179579.35,156677895.09,141010105.58
46,Mainland,427570.0,8475039.71,14.1,130774571.01,113717018.27,102345316.44
47,Mainland,1004640.0,36981263.4,13.8,570641439.48,496209947.38,446588952.64
48,Mainland,427570.0,5842406.42,14.5,90151576.83,78392675.5,70553407.95
49,Mainland,427570.0,7030321.46,14.3,108481765.85,94331970.3,84898773.27
50,Mainland,242190.0,828070.21,19.0,12777583.45,11110942.13,9999847.92
51,Mainland,242190.0,1670555.58,15.7,25777600.65,22415304.91,20173774.42
52,Mainland,427570.0,10631973.08,14.0,164057251.3,142658479.39,128392631.45
53,Mainland,427570.0,3176137.79,15.5,49009570.55,42617017.87,38355316.08
54,Mainland,744510.0,14132184.77,14.2,218067462.18,189623880.16,170661492.14
55,Mainland,427570.0,4261011.21,14.9,65749770.14,57173713.17,51456341.85
56,Mainland,242190.0,1218347.02,16.7,18799771.39,16347627.3,14712864.57
57,Mainland,427570.0,10028672.41,14.0,154747986.76,134563466.75,121107120.08
58,Mainland,744510.0,23426218.48,13.9,361479565.76,314330057.18,282897051.47
59,Mainland,427570.0,5124318.45,14.6,79071080.55,68757461.34,61881715.21
60,Mainland,744510.0,13626052.88,14.2,210257565.92,182832666.02,164549399.41
61,Mainland,744510.0,12132216.35,14.3,187206838.33,162788555.07,146509699.56
62,Mainland,744510.0,17163338.19,14.0,264839843.46,230295516.06,207265964.45
63,Mainland,1004640.0,35996762.13,13.8,555450037.89,483000032.94,434700029.65
64,Mainland,427570.0,7144040.97,14.3,110236521.02,95857844.37,86272059.93
65,Mainland,427570.0,10335127.8,14.0,159476763.62,138675446.62,124807901.96
66,Mainland,427570.0,4722295.97,14.8,72867650.28,63363174.16,57026856.74
67,Mainland,744510.0,17486109.39,14.0,269820382.37,234626419.46,211163777.51
68,Mainland,1004640.0,33295790.36,13.8,513772542.94,446758732.99,402082859.69
69,Mainland,427570.0,6103480.78,14.4,94180099.27,81895738.5,73706164.65
70,Mainland,744510.0,22458801.83,13.9,346551789.36,301349382.05,271214443.84
71,Mainland,744510.0,23473735.08,13.9,362212773.32,314967628.98,283470866.08
72,Mainland,744510.0,10709921.66,14.4,165260041.23,143704383.68,129333945.31
73,Mainland,242190.0,1046563.83,17.5,16149061.29,14042661.99,12638395.79
74,Mainland,744510.0,11779846.04,14.3,181769568.78,158060494.59,142254445.13
75,Mainland,242190.0,1539751.45,15.9,23759220.28,20660191.55,18594172.4
76,Mainland,427570.0,6459054.45,14.4,99666798.55,86666781.34,78000103.21
77,Mainland,242190.0,0.0,inf,0.0,0.0,0.0
78,Mainland,744510.0,18228222.6,14.0,281271601.58,244584001.38,220125601.24
79,Mainland,242190.0,2318169.48,15.0,35770643.02,31104906.98,27994416.28
80,Mainland,427570.0,7179811.89,14.3,110788486.27,96337814.14,86704032.73
81,Mainland,744510.0,16997062.12,14.0,262274111.3,228064444.61,205258000.15
82,Mainland,427570.0,4761270.26,14.7,73469045.25,63886126.3,57497513.67
83,Mainland,1004640.0,26964336.67,13.9,416074695.04,361804082.64,325623674.38
84,Mainland,1004640.0,24878945.15,14.0,383895945.23,333822561.07,300440304.96
85,Mainland,744510.0,21190268.74,13.9,326977618.97,284328364.32,255895527.89
86,Mainland,427570.0,6411003.96,14.4,98925352.7,86022045.82,77419841.24
87,Mainland,744510.0,15257634.16,14.1,235433771.6,204725018.78,184252516.91
88,Mainland,427570.0,10597803.84,14.0,163530000.92,142200000.8,127980000.72
89,Mainland,744510.0,10709387.77,14.4,165251802.94,143697219.95,129327497.96
90,Mainland,242190.0,1675360.63,15.7,25851745.23,22479778.46,20231800.62
91,Mainland,1004640.0,34381731.57,13.8,530529219.11,461329755.74,415196780.17
92,Mainland,1004640.0,31456524.15,13.9,485391643.54,422079690.03,379871721.03
93,Mainland,1004640.0,35001476.19,13.8,540092222.89,469645411.21,422680870.09
94,Mainland,744510.0,18905200.7,14.0,291717749.75,253667608.48,228300847.63
95,Mainland,1004640.0,32390839.35,13.8,499808646.14,434616214.03,391154592.63
96,Mainland,744510.0,11174409.79,14.4,172427351.1,149936827.04,134943144.34
97,Mainland,744510.0,20497807.7,13.9,316292560.47,275037009.1,247533308.19
98,Mainland,1004640.0,36259438.18,13.8,559503275.19,486524587.12,437872128.41
99,Mainland,744510.0,19722183.11,13.9,304324242.1,264629775.74,238166798.16
100,Mainland,427570.0,9262392.25,14.1,142923858.19,124281615.82,111853454.24
101,Mainland,427570.0,6912864.69,14.3,106669342.67,92755950.14,83480355.13
102,Mainland,427570.0,6162743.06,14.4,95094549.15,82690912.3,74421821.07
103,Mainland,744510.0,21975093.5,13.9,339087901.15,294859044.48,265373140.03
104,Mainland,427570.0,4580312.09,14.8,70676760.19,61458052.34,55312247.1
105,Mainland,427570.0,6066108.17,14.4,93603419.17,81394277.54,73254849.78
106,Mainland,744510.0,15281659.41,14.1,235804494.53,205047386.54,184542647.89
107,Mainland,1004640.0,31574881.07,13.9,487217956.47,423667788.24,381301009.41
108,Mainland,242190.0,1231771.58,16.7,19006919.83,16527756.37,14874980.73
109,Mainland,427570.0,5791152.56,14.5,89360701.26,77704957.62,69934461.85
110,Mainland,744510.0,18322188.02,14.0,282721540.13,245844817.5,221260335.75
111,Mainland,744510.0,14146599.92,14.2,218289895.94,189817300.82,170835570.73
112,Mainland,427570.0,4748456.79,14.7,73271326.36,63714196.83,57342777.15
113,Mainland,427570.0,5384858.92,14.6,83091364.7,72253360.61,65028024.55
114,Mainland,427570.0,5412621.43,14.6,83519755.63,72625874.46,65363287.02
115,Mainland,427570.0,4581881.74,14.8,70700980.75,61479113.7,55331202.33
116,Mainland,744510.0,14657536.86,14.1,226173936.79,196672988.51,177005689.66
117,Mainland,427570.0,9897868.28,14.0,152729606.4,132808353.39,119527518.05
118,Mainland,744510.0,11634626.76,14.3,179528754.66,156111960.58,140500764.52
119,Mainland,744510.0,13853491.89,14.2,213767076.27,185884414.14,167295972.73
120,Mainland,427570.0,10301492.45,14.0,158957751.52,138224131.76,124401718.58
121,Mainland,427570.0,6292479.4,14.4,97096452.94,84431698.21,75988528.39
122,Mainland,242190.0,820662.54,19.0,12663278.86,11011546.83,9910392.15
123,Mainland,427570.0,2690293.88,16.0,41512729.2,36098025.39,32488222.85
124,Mainland,242190.0,1906003.01,15.4,29410685.3,25574508.96,23017058.06
125,Mainland,427570.0,9340412.16,14.1,144127748.76,125328477.18,112795629.46
126,Mainland,1004640.0,25386678.72,14.0,391730556.36,340635266.4,306571739.76
127,Mainland,427570.0,8894680.7,14.1,137249864.75,119347708.48,107412937.63
128,Mainland,1004640.0,25622660.04,14.0,395371879.3,343801634.18,309421470.76
129,Mainland,427570.0,8041517.45,14.2,124085081.81,107900071.14,97110064.02
130,Mainland,242190.0,1188982.83,16.9,18346665.59,15953622.26,14358260.03
131,Mainland,1004640.0,37726579.99,13.8,582142088.41,506210511.66,455589460.5
132,Mainland,427570.0,5359231.99,14.6,82695926.91,71909501.66,64718551.5
133,Mainland,427570.0,8156838.64,14.2,125864551.84,109447436.38,98502692.75
134,Mainland,1004640.0,32856929.16,13.8,507000670.86,440870148.58,396783133.72
135,Mainland,427570.0,9123484.67,14.1,140780437.1,122417771.4,110175994.26
136,Mainland,744510.0,17633998.14,14.0,272102387.93,236610772.11,212949694.9
137,Mainland,744510.0,15092052.15,14.1,232878749.21,202503260.18,182252934.16
138,Mainland,1004640.0,26401584.64,13.9,407391118.53,354253146.55,318827831.89
139,Mainland,427570.0,7776171.94,14.2,119990653.07,104339698.32,93905728.49
140,Mainland,242190.0,1991426.11,15.3,30728811.26,26720705.44,24048634.9
141,Mainland,427570.0,7503885.79,14.2,115789126.6,100686197.04,90617577.34
142,Mainland,427570.0,2973791.81,15.7,45887259.7,39901964.96,35911768.46
143,Mainland,744510.0,10861013.78,14.4,167591476.51,145731718.7,131158546.83
144,Mainland,744510.0,16084636.59,14.1,248194878.47,215821633.46,194239470.11
145,Mainland,427570.0,9720615.34,14.0,149994495.05,130429995.7,117386996.13
146,Mainland,1004640.0,33635347.2,13.8,519012093.6,451314864.0,406183377.6
147,Mainland,744510.0,14090007.11,14.2,217416637.5,189057945.65,170152151.08
148,Mainland,427570.0,2951464.34,15.7,45542734.53,39602377.86,35642140.07
149,Mainland,242190.0,104643.3,inf,1614704.29,1404090.69,1263681.62
150,Mainland,427570.0,7099193.84,14.3,109544504.9,95256091.22,85730482.09
151,Mainland,242190.0,2364336.83,14.9,36483030.78,31724374.59,28551937.14
152,Mainland,427570.0,3801862.02,15.1,58664843.15,51012907.09,45911616.38
153,Mainland,744510.0,11267841.31,14.4,173869051.36,151190479.44,136071431.5
154,Mainland,427570.0,10009452.21,14.0,154451408.43,134305572.54,120875015.29
155,Mainland,1004640.0,24276712.26,14.0,374603157.27,325741875.89,293167688.3
156,Mainland,744510.0,11137037.18,14.4,171850670.99,149435366.08,134491829.47
157,Mainland,1004640.0,39068262.91,13.8,602845001.36,524213044.66,471791740.19
158,Mainland,427570.0,5509790.21,14.5,85019123.9,73929672.96,66536705.66
159,Mainland,427570.0,7623478.14,14.2,117634502.93,102290872.11,92061784.9
160,Mainland,242190.0,1548293.76,15.9,23891032.88,20774811.2,18697330.08
161,Mainland,427570.0,3378483.76,15.4,52131881.4,45332070.78,40798863.71
162,Mainland,427570.0,5656077.27,14.5,87276414.6,75892534.43,68303280.99
163,Mainland,744510.0,10899454.18,14.4,168184633.19,146247507.12,131622756.41
164,Mainland,744510.0,13331877.06,14.2,205718269.67,178885451.89,160996906.7
165,Mainland,1004640.0,29300658.57,13.9,452125439.82,393152556.37,353837300.73
166,Mainland,427570.0,5387528.39,14.6,83132556.14,72289179.25,65060261.32
167,Mainland,427570.0,4318137.91,14.9,66631266.87,57940232.06,52146208.86
168,Mainland,242190.0,2176153.57,15.1,33579258.63,29199355.33,26279419.8
169,Mainland,427570.0,3263696.47,15.4,50360649.65,43791869.26,39412682.34
170,Mainland,744510.0,15473327.5,14.1,238762039.63,207619164.9,186857248.41
171,Mainland,744510.0,21202014.41,13.9,327158861.29,284485966.34,256037369.7
172,Mainland,427570.0,5062920.6,14.7,78123677.52,67933632.62,61140269.36
173,Mainland,1004640.0,26341815.8,13.9,406468852.16,353451175.79,318106058.21
174,Mainland,744510.0,13469621.82,14.2,207843747.77,180733693.71,162660324.34
175,Mainland,242190.0,1680699.57,15.7,25934128.11,22551415.74,20296274.17
