cluster_id,region,annual_opex,annual_revenue,payback_base,CAPEXC,CAPEXB,CAPEXO
0,Palma,435500.0,3591883.66,6.5,23669677.98,20582328.68,18524095.81
1,Sicily,734500.0,7701857.28,6.3,50753448.35,44133433.34,39720090.01
2,Mainland,435500.0,3173554.8,6.6,20912988.1,18185207.04,16366686.34
3,Mainland,734500.0,12416172.6,6.1,81819689.95,71147556.48,64032800.83
4,Mainland,256750.0,0.0,inf,0.0,0.0,0.0
5,Mainland,256750.0,0.0,inf,0.0,0.0,0.0
6,Mainland,435500.0,6578871.0,6.1,43353229.92,37698460.8,33928614.72
7,Mainland,435500.0,4389044.4,6.4,28922781.89,25150245.12,22635220.61
8,Mainland,256750.0,920337.6,7.9,6064810.75,5273748.48,4746373.63
9,Mainland,435500.0,6039547.8,6.2,39799215.46,34608013.44,31147212.1
10,Mainland,734500.0,10553234.89,6.2,69543363.68,60472490.16,54425241.14
11,Mainland,955500.0,15143645.4,6.1,99793101.41,86776609.92,78098948.93
12,Mainland,734500.0,7410998.4,6.4,48836755.97,42466744.32,38220069.89
13,Mainland,256750.0,1389226.8,7.0,9154681.54,7960592.64,7164533.38
14,Mainland,256750.0,1663248.6,6.8,10960421.47,9530801.28,8577721.15
15,Mainland,435500.0,4404137.4,6.4,29022241.25,25236731.52,22713058.37
16,Mainland,256750.0,185476.2,inf,1222245.02,1062821.76,956539.58
17,Mainland,1254500.0,31664454.87,6.0,208661393.78,181444690.24,163300221.22
18,Mainland,734500.0,14502696.0,6.0,95569393.92,83103820.8,74793438.72
19,Mainland,1254500.0,25049259.11,6.0,165068792.14,143538080.13,129184272.11
20,Mainland,435500.0,2585263.2,6.9,17036283.26,14814159.36,13332743.42
21,Mainland,1254500.0,24954766.2,6.0,164446105.82,142996613.76,128696952.38
22,Mainland,955500.0,18927192.18,6.0,124725794.79,108457212.86,97611491.58
23,Mainland,256750.0,712054.2,9.0,4692271.58,4080236.16,3672212.54
24,Mainland,435500.0,3077630.4,6.7,20280868.61,17635537.92,15871984.13
25,Mainland,256750.0,1147738.8,7.4,7563331.78,6576810.24,5919129.22
26,Mainland,734500.0,9440168.4,6.2,62208514.37,54094360.32,48684924.29
27,Mainland,256750.0,724799.4,8.9,4776259.49,4153269.12,3737942.21
28,Mainland,1254500.0,21975743.4,6.1,144815038.37,125926120.32,113333508.29
29,Mainland,734500.0,8767020.6,6.3,57772626.91,50237066.88,45213360.19
30,Mainland,435500.0,1791706.8,7.6,11806931.14,10266896.64,9240206.98
31,Mainland,435500.0,3799746.6,6.5,25039446.43,21773431.68,19596088.51
32,Mainland,734500.0,14463715.28,6.0,95312520.01,82880452.18,74592406.96
33,Mainland,256750.0,1245340.2,7.2,8206502.3,7136088.96,6422480.06
34,Mainland,256750.0,216333.0,inf,1425584.16,1239638.4,1115674.56
35,Mainland,734500.0,14262549.6,6.0,93986884.99,81727726.08,73554953.47
36,Mainland,734500.0,11211415.8,6.1,73880622.82,64244019.84,57819617.86
37,Mainland,734500.0,7102430.4,6.4,46803364.61,40698577.92,36628720.13
38,Mainland,734500.0,9532068.0,6.2,62814111.36,54620966.4,49158869.76
39,Mainland,256750.0,1314768.0,7.1,8664015.36,7533926.4,6780533.76
40,Mainland,435500.0,4717736.4,6.3,31088785.73,27033726.72,24330354.05
41,Mainland,435500.0,5629689.0,6.2,37098341.28,32259427.2,29033484.48
42,Mainland,435500.0,5903375.4,6.2,38901871.01,33827713.92,30444942.53
43,Mainland,435500.0,6168006.0,6.2,40645725.12,35344108.8,31809697.92
44,Mainland,734500.0,11460618.0,6.1,75522807.36,65672006.4,59104805.76
