cluster_id,region,annual_opex,payback_base,CAPEXC,CAPEXB,CAPEXO
0,Palma,1834560.0,0,679798787.24,591129380.21,532016442.19
1,Sicily,3057600.0,0,1457651120.64,1267522713.6,1140770442.24
2,Mainland,1834560.0,0,600625997.4,522283476.0,470055128.4
3,Mainland,3057600.0,0,2349880976.3,2043374762.0,1839037285.8
4,Mainland,611520.0,0,0.0,0.0,0.0
5,Mainland,611520.0,0,0.0,0.0,0.0
6,Mainland,2446080.0,0,1245115085.5,1082708770.0,974437893.0
7,Mainland,1834560.0,0,830669182.2,722321028.0,650088925.2
8,Mainland,1223040.0,0,174182808.8,151463312.0,136316980.8
9,Mainland,2446080.0,0,1143042943.9,993950386.0,894555347.4
10,Mainland,3057600.0,0,1997301962.88,1736784315.55,1563105884.0
11,Mainland,3057600.0,0,2866081632.7,2492244898.0,2243020408.2
12,Mainland,2446080.0,0,1402603259.2,1219655008.0,1097689507.2
13,Mainland,1223040.0,0,262924633.4,228630116.0,205767104.4
14,Mainland,1223040.0,0,314785914.3,273726882.0,246354193.8
15,Mainland,1834560.0,0,833525678.7,724804938.0,652324444.2
16,Mainland,611520.0,0,35103168.1,30524494.0,27472044.6
17,Mainland,3057600.0,0,5992804910.62,5211134704.89,4690021234.4
18,Mainland,3057600.0,0,2744775748.0,2386761520.0,2148085368.0
19,Mainland,3057600.0,0,4740815012.48,4122447836.94,3710203053.24
20,Mainland,1834560.0,0,489286111.6,425466184.0,382919565.6
21,Mainland,3057600.0,0,4722931313.1,4106896794.0,3696207114.6
22,Mainland,3057600.0,0,3582154523.09,3114916976.6,2803425278.94
23,Mainland,1223040.0,0,134763157.1,117185354.0,105466818.6
24,Mainland,1834560.0,0,582471375.2,506496848.0,455847163.2
25,Mainland,1223040.0,0,217220689.4,188887556.0,169998800.4
26,Mainland,3057600.0,0,1786643344.2,1553602908.0,1398242617.2
27,Mainland,1223040.0,0,137175309.7,119282878.0,107354590.2
