cluster_id,region,annual_opex,annual_revenue,payback_base,CAPEXC,CAPEXB,CAPEXO
0,Palma,574080.0,3870324.25,9.8,37336099.2,32466173.21,29219555.89
1,Sicily,985920.0,8298900.48,9.5,80057522.69,69615237.12,62653713.41
2,Mainland,574080.0,3419566.8,10.1,32987749.08,28684999.2,25816499.28
3,Mainland,985920.0,13378666.6,9.1,129060820.46,112226800.4,101004120.36
4,Mainland,312000.0,0.0,inf,0.0,0.0,0.0
5,Mainland,312000.0,0.0,inf,0.0,0.0,0.0
6,Mainland,574080.0,7088861.0,9.1,68384559.1,59464834.0,53518350.6
7,Mainland,574080.0,4729280.4,9.5,45622245.24,39671517.6,35704365.84
8,Mainland,312000.0,991681.6,12.2,9566516.96,8318710.4,7486839.36
9,Mainland,574080.0,6507729.8,9.2,62778524.38,54590021.2,49131019.08
10,Mainland,985920.0,11371315.11,9.2,109696377.24,95388154.12,85849338.71
11,Mainland,1347840.0,16317571.4,9.1,157411737.34,136879771.6,123191794.44
12,Mainland,985920.0,7985494.4,9.6,77034168.64,66986233.6,60287610.24
13,Mainland,312000.0,1496918.8,10.6,14440420.28,12556887.2,11301198.48
14,Mainland,312000.0,1792182.6,10.2,17288760.06,15033704.4,13530333.96
15,Mainland,574080.0,4745543.4,9.5,45779130.54,39807939.6,35827145.64
16,Mainland,312000.0,199854.2,inf,1927946.02,1676474.8,1508827.32
17,Mainland,1759680.0,34119063.78,8.8,329138508.04,286207398.3,257586658.47
18,Mainland,985920.0,15626936.0,9.0,150749341.6,131086384.0,117977745.6
19,Mainland,1759680.0,26991062.14,9.0,260376368.56,226414233.53,203772810.18
20,Mainland,574080.0,2785671.2,10.6,26872708.72,23367572.8,21030815.52
21,Mainland,1759680.0,26889244.2,9.0,259394155.02,225560134.8,203004121.32
22,Mainland,1347840.0,20394416.38,9.0,196740092.98,171078341.72,153970507.55
23,Mainland,312000.0,767252.2,14.1,7401499.82,6436086.8,5792478.12
24,Mainland,574080.0,3316206.4,10.1,31990655.84,27817961.6,25036165.44
25,Mainland,312000.0,1236710.8,11.2,11930255.48,10374135.2,9336721.68
26,Mainland,985920.0,10171964.4,9.3,98126525.64,85327413.6,76794672.24
27,Mainland,312000.0,780985.4,14.0,7533980.74,6551287.6,5896158.84
28,Mainland,1759680.0,23679289.4,9.1,228428483.14,198633463.6,178770117.24
29,Mainland,985920.0,9446634.6,9.4,91129441.26,79242992.4,71318693.16
30,Mainland,574080.0,1930598.8,11.9,18624028.28,16194807.2,14575326.48
31,Mainland,574080.0,4094300.6,9.8,39496745.86,34344996.4,30910496.76
32,Mainland,985920.0,15584933.51,9.0,150344153.59,130734046.6,117660641.94
33,Mainland,312000.0,1341878.2,10.9,12944780.42,11256330.8,10130697.72
34,Mainland,312000.0,233103.0,inf,2248689.3,1955382.0,1759843.8
35,Mainland,985920.0,15368173.6,9.0,148253122.16,128915758.4,116024182.56
36,Mainland,985920.0,12080517.8,9.1,116537887.18,101337293.2,91203563.88
37,Mainland,985920.0,7653006.4,9.6,73826735.84,64197161.6,57777445.44
38,Mainland,985920.0,10270988.0,9.3,99081782.8,86158072.0,77542264.8
39,Mainland,312000.0,1416688.0,10.8,13666452.8,11883872.0,10695484.8
40,Mainland,574080.0,5083452.4,9.5,49038858.44,42642485.6,38378237.04
41,Mainland,574080.0,6066099.0,9.3,58518216.9,50885406.0,45796865.4
42,Mainland,574080.0,6361001.4,9.2,61363070.34,53359191.6,48023272.44
43,Mainland,574080.0,6646146.0,9.2,64113792.6,55751124.0,50176011.6
44,Mainland,985920.0,12349038.0,9.1,119128237.8,103589772.0,93230794.8
45,Mainland,985920.0,7904179.4,9.6,76249742.14,66304123.6,59673711.24
46,Mainland,574080.0,5736863.6,9.3,55342161.16,48123618.4,43311256.56
47,Mainland,1759680.0,25033093.8,9.0,241488312.78,209989837.2,188990853.48
48,Mainland,574080.0,3954800.2,9.8,38151018.62,33174798.8,29857318.92
49,Mainland,574080.0,4758915.2,9.5,45908125.12,39920108.8,35928097.92
50,Mainland,312000.0,560531.4,18.9,5407313.34,4702011.6,4231810.44
51,Mainland,312000.0,1130820.6,11.6,10908757.86,9485876.4,8537288.76
52,Mainland,574080.0,7196919.6,9.1,69426974.76,60371282.4,54334154.16
53,Mainland,574080.0,2149968.6,11.4,20740236.66,18034988.4,16231489.56
54,Mainland,985920.0,9566258.0,9.4,92283419.8,80246452.0,72221806.8
55,Mainland,574080.0,2884333.4,10.5,27824479.54,24195199.6,21775679.64
56,Mainland,312000.0,824714.8,13.5,7955827.88,6918111.2,6226300.08
57,Mainland,574080.0,6788537.6,9.2,65487410.56,56945574.4,51251016.96
58,Mainland,985920.0,15857509.2,8.9,152973626.52,133020544.8,119718490.32
59,Mainland,574080.0,3468717.2,10.1,33461891.32,29097296.8,26187567.12
60,Mainland,985920.0,9223650.8,9.4,88978369.48,77372495.2,69635245.68
61,Mainland,985920.0,8212453.6,9.5,79223590.16,68890078.4,62001070.56
62,Mainland,985920.0,11618084.82,9.2,112076905.97,97458179.1,87712361.19
63,Mainland,1759680.0,24366672.2,9.0,235059501.82,204399566.8,183959610.12
64,Mainland,574080.0,4835893.4,9.5,46650715.54,40565839.6,36509255.64
65,Mainland,574080.0,6995981.2,9.1,67488569.72,58685712.8,52817141.52
66,Mainland,574080.0,3196583.0,10.2,30836677.3,26814502.0,24133051.8
67,Mainland,985920.0,11836572.8,9.2,114184607.68,99290963.2,89361866.88
68,Mainland,1347840.0,22538349.6,8.9,217422107.76,189062702.4,170156432.16
69,Mainland,574080.0,4131524.8,9.7,39855838.88,34657251.2,31191526.08
70,Mainland,985920.0,15202652.4,9.0,146656378.44,127527285.6,114774557.04
71,Mainland,985920.0,15889673.8,8.9,153283910.78,133290357.2,119961321.48
72,Mainland,985920.0,7249684.0,9.7,69935980.4,60813896.0,54732506.4
73,Mainland,312000.0,708432.54,15.0,6834080.55,5942678.74,5348410.87
74,Mainland,985920.0,7973929.6,9.6,76922605.76,66889222.4,60200300.16
