cluster_id,start_year,build_year,CAPEX,annual_profit
17,2025,2031,5645251926.559999,1005189008.5158378
68,2031,2037,3729136952.11,663942416.6245662
219,2037,2041,3859014533.0899997,686995731.7507002
240,2041,2043,3688355870.06,656571376.2337912
19,2043,2045,4465871237.570001,794966892.6174598
134,2045,2046,3679984386.9399996,655044830.4897913
21,2046,2047,4449024704.120001,791763595.1019893
92,2047,2048,3523138671.05,626590202.991495
193,2048,2048,2641741091.13,469829756.265225
58,2048,2049,2623742402.42,466569688.6818804
220,2049,2049,2622606272.57,466364921.13706726
131,2049,2050,4225386512.2000003,751237753.8017536
18,2050,2050,2585592357.92,459624578.54885745
32,2050,2050,2578642735.33,458350942.7491633
47,2050,2051,4141910866.24,736199095.4303129
98,2051,2051,4061066257.8199997,721630276.908879
195,2051,2052,3770336608.32,669930544.7316105
63,2052,2052,4031646474.28,716280032.7159775
186,2052,2053,3983390853.7299995,707549307.9423981
93,2053,2053,3920174196.9200006,696191794.6628547
28,2053,2053,3917913896.47,695598958.8556162
157,2053,2054,4375655339.81,776844364.4975259
171,2054,2054,2374630983.2999997,421471143.93061393
83,2054,2054,3020012535.54,536008023.8494615
85,2054,2054,2373315464.52,421193707.9459434
200,2054,2054,3515245558.3999996,623817769.8178408
187,2054,2055,2640305979.74,468512013.67763317
71,2055,2055,2629064273.8399997,466496191.2387081
269,2055,2055,2968946488.5099998,526648228.10808194
22,2055,2055,3374407314.16,598418404.5360806
35,2055,2055,2542778201.39,450827144.1931237
70,2055,2055,2515391492.33,445951364.61280596
165,2055,2056,3281681179.3499994,581759044.6974399
241,2056,2056,2228967177.01,395090304.80330455
103,2056,2056,2461216037.2799997,436227314.16398406
218,2056,2056,4008098317.4500003,710307816.0258185
99,2056,2056,2208889502.24,391440246.570534
268,2056,2056,3120649721.9,552985365.1439381
84,2056,2056,2786448156.4900002,493617479.63737756
11,2056,2057,2699863102.5099998,478075171.6265626
173,2057,2057,2950290040.4100003,522252266.82394546
138,2057,2057,2956984165.34,523413578.75954115
206,2057,2057,2086950945.51,369329387.1446245
253,2057,2057,2262572702.1000004,400285226.3669371
146,2057,2057,3767167404.0,666444087.2874697
91,2057,2057,3850762642.58,681200478.9802562
126,2057,2057,2843314445.4,502869847.1797097
128,2057,2058,2869744413.5399995,507531300.861118
3,2058,2058,2213599525.85,391402022.3825116
95,2058,2058,3627782210.05,641347014.9850466
222,2058,2058,2186407860.39,386520412.0087959
237,2058,2058,1990646779.02,351898303.4443752
255,2058,2058,2179396037.6800003,385241328.25900316
67,2058,2058,1958448679.62,346136528.48043734
6,2058,2058,1172904581.42,207264215.99145082
94,2058,2058,2117387266.2800002,374108989.2862589
81,2058,2058,1903675261.4899998,336254854.6558211
196,2058,2058,1919528231.4300003,339033868.56989735
236,2058,2058,1920550616.7399998,339213387.6938153
226,2058,2058,1899489519.93,335454915.3335208
44,2058,2059,2043239844.3600001,360695647.1421807
110,2059,2059,2052089697.9399998,362243663.2991666
57,2059,2059,1123213849.47,198260930.76674348
78,2059,2059,2041565547.7400002,360343231.56567997
43,2059,2059,1099654104.12,194032374.88196748
184,2059,2059,1813382836.4099998,319875075.110016
136,2059,2059,1975012256.93,348339693.8766782
88,2059,2059,1186956713.8,209339880.0525866
144,2059,2059,1801483371.12,317711727.49662626
38,2059,2059,1699411073.3600001,299692252.9989437
52,2059,2059,1190783677.5100002,209994269.82672352
261,2059,2059,1072028209.8199999,189047439.32215843
183,2059,2059,1698932702.9,299595600.3876892
137,2059,2059,1690313663.0700002,297998116.4151296
65,2059,2059,1157536930.26,204068048.68766385
62,2059,2059,1922298223.6499999,338831384.92702454
26,2059,2059,1683026884.9699998,296656515.8000056
217,2059,2059,1756935121.66,309656031.5183655
233,2059,2059,1055105854.66,185957936.80825913
120,2059,2059,1153769762.8600001,203338730.78430903
97,2059,2060,2295759653.04,404597353.12844336
202,2060,2060,1053976840.5700002,185725840.02476105
116,2060,2060,1641647839.8300002,289236586.59366083
170,2060,2060,1733016598.4600003,305327334.0752206
10,2060,2060,1881468347.81,331475351.4422031
